entidad,periodo,desapariciones,post
Aguascalientes,2015-01-01,275,0
Aguascalientes,2015-02-01,291,0
Aguascalientes,2015-03-01,365,0
Aguascalientes,2015-04-01,410,0
Aguascalientes,2015-05-01,350,0
Aguascalientes,2015-06-01,361,0
Aguascalientes,2015-07-01,342,0
Aguascalientes,2015-08-01,356,0
Aguascalientes,2015-09-01,315,0
Aguascalientes,2015-10-01,316,0
Aguascalientes,2015-11-01,261,0
Aguascalientes,2015-12-01,262,0
Aguascalientes,2016-01-01,214,0
Aguascalientes,2016-02-01,218,0
Aguascalientes,2016-03-01,250,0
Aguascalientes,2016-04-01,274,0
Aguascalientes,2016-05-01,262,0
Aguascalientes,2016-06-01,270,0
Aguascalientes,2016-07-01,245,0
Aguascalientes,2016-08-01,245,0
Aguascalientes,2016-09-01,304,0
Aguascalientes,2016-10-01,333,0
Aguascalientes,2016-11-01,282,0
Aguascalientes,2016-12-01,315,0
Aguascalientes,2017-01-01,271,0
Aguascalientes,2017-02-01,256,0
Aguascalientes,2017-03-01,318,0
Aguascalientes,2017-04-01,285,0
Aguascalientes,2017-05-01,445,0
Aguascalientes,2017-06-01,546,0
Aguascalientes,2017-07-01,462,0
Aguascalientes,2017-08-01,532,0
Aguascalientes,2017-09-01,503,0
Aguascalientes,2017-10-01,489,0
Aguascalientes,2017-11-01,448,0
Aguascalientes,2017-12-01,372,0
Aguascalientes,2018-01-01,393,0
Aguascalientes,2018-02-01,440,0
Aguascalientes,2018-03-01,525,0
Aguascalientes,2018-04-01,533,0
Aguascalientes,2018-05-01,556,0
Aguascalientes,2018-06-01,451,0
Aguascalientes,2018-07-01,510,0
Aguascalientes,2018-08-01,464,0
Aguascalientes,2018-09-01,457,0
Aguascalientes,2018-10-01,512,0
Aguascalientes,2018-11-01,440,0
Aguascalientes,2018-12-01,459,0
Aguascalientes,2019-01-01,357,0
Aguascalientes,2019-02-01,362,0
Aguascalientes,2019-03-01,457,0
Aguascalientes,2019-04-01,545,0
Aguascalientes,2019-05-01,554,0
Aguascalientes,2019-06-01,534,1
Aguascalientes,2019-07-01,482,1
Aguascalientes,2019-08-01,496,1
Aguascalientes,2019-09-01,564,1
Aguascalientes,2019-10-01,554,1
Aguascalientes,2019-11-01,491,1
Aguascalientes,2019-12-01,493,1
Aguascalientes,2020-01-01,445,1
Aguascalientes,2020-02-01,453,1
Aguascalientes,2020-03-01,550,1
Aguascalientes,2020-04-01,423,1
Aguascalientes,2020-05-01,407,1
Aguascalientes,2020-06-01,463,1
Aguascalientes,2020-07-01,471,1
Aguascalientes,2020-08-01,430,1
Aguascalientes,2020-09-01,437,1
Aguascalientes,2020-10-01,424,1
Aguascalientes,2020-11-01,382,1
Aguascalientes,2020-12-01,428,1
Aguascalientes,2021-01-01,371,1
Aguascalientes,2021-02-01,390,1
Aguascalientes,2021-03-01,497,1
Aguascalientes,2021-04-01,509,1
Aguascalientes,2021-05-01,490,1
