w.weights,unit.names,unit.numbers
0.028,Aguascalientes,1
0.034,Baja California,2
0.027,Baja California Sur,3
0.026,Campeche,4
0.028,Chiapas,5
0.03,Chihuahua,6
0.034,Ciudad de México,7
0.029,Coahuila de Zaragoza,8
0.027,Colima,9
0.028,Durango,10
0.029,Guerrero,12
0.03,Hidalgo,13
0.034,Jalisco,14
0.156,Michoacán de Ocampo,16
0.03,Morelos,17
0.029,México,15
0.026,Nayarit,18
0.033,Nuevo León,19
0.03,Puebla,21
0.029,Querétaro,22
0.028,Quintana Roo,23
0.028,San Luis Potosí,24
0.029,Sinaloa,25
0.028,Sonora,26
0.03,Tabasco,27
0.03,Tamaulipas,28
0.026,Tlaxcala,29
0.03,Veracruz de Ignacio de la Llave,30
0.027,Yucatán,31
0.027,Zacatecas,32
